fen_string,solution_moves,difficulty_elo,tag_id
rn3rk1/ppp2pp1/5n1p/4P3/2B3q1/1QN1B2b/PP3PP1/3R1RK1 w - - 1 15,b3b7 c7c6 b7f7 f8f7,1735,17
3r2r1/1kpq1pbp/1pn1p3/1Q1p1p2/N2P1P2/P3P1P1/1KP3BP/3RR3 b - - 0 23,c6a7 a4c5 b7a8 b5d7 d8d7 c5d7,1912,17
8/8/3K2p1/pkP4p/1P6/8/8/8 b - - 1 59,a5b4 c5c6 b4b3 c6c7,407,1
r1bqnrk1/pp1p1pbp/2n1p1p1/4P3/2BN4/2N4P/PPP2PP1/R1BQR1K1 b - - 0 10,g7e5 d4c6 b7c6 e1e5,1361,2
5k2/6pp/2PP4/1p2p3/1n2b3/4q3/P3B1PP/2RQK3 w - - 0 30,e1f1 b4d3 e2d3 e4d3 d1d3 e3d3,1905,2
r5k1/5ppp/8/4pN2/b1q1P3/p1P4P/pr4PK/R1Q2R2 b - - 1 31,c4e2 c1g5 e2g2 g5g2 b2g2 h2g2,1801,2
8/1R6/5p1k/6p1/3P1N2/7P/BP1n2PK/4rb2 w - - 0 41,b7f7 g5f4 f7f6 h6g5,1634,2
8/5p2/6p1/3k1p1p/5P1P/4P1P1/5K2/8 w - - 0 41,f2f3 d5c4 e3e4 c4d4 e4e5 d4d3 f3f2 d3d2,2761,17
rnb4r/ppp4p/2k1p3/3p1q2/2NPn3/2P5/P1PB2B1/2K2R1Q b - - 1 22,f5g4 c4e5 c6b6 e5g4,1052,17
2b2rk1/1p4pp/p3pn1q/3pN3/2pP4/2P3PP/PPB1Q1K1/5R2 b - - 0 24,f6d7 e5g4 h6g5 e2e6,2202,17
1r6/2R1kp2/1p4p1/pP1Pp2p/4b3/P1R5/6P1/6K1 b - - 4 39,e7d6 c3c6 d6d5 c7d7,1316,25
8/1p2Pk2/p1p5/P4NP1/1P1p1K2/3P4/8/7r b - - 0 50,h1f1 f4e5 f1g1 e5d6 g1g5 d6d7 g5f5 e7e8q,1922,1
8/2p1k3/N4p2/6pp/P3P3/2P2P2/1r4rP/R3RK2 w - - 0 33,a6c7 b2f2,926,10
1r4k1/5pp1/7p/Q7/1p6/6R1/5PPK/2q5 b - - 7 31,b4b3 a5e5 g7g5 e5b8,1755,17
8/8/q2bk1pp/1p1p1p2/1P1P1P2/2Q1P2P/rB4P1/R5K1 b - - 4 34,d6b4 a1a2 a6a2 c3b4,1631,17
3R1bk1/2q2n1p/rn2rPp1/2p1p3/p3P3/1P2NN1P/PBQ2P2/3R2K1 w - - 1 32,e3d5 c7d8 d5e7 f8e7 d1d8 e7d8,2199,2
8/6p1/p1p4p/P2p1k2/1PpP4/2P4P/6P1/4K3 w - - 1 34,e1e2 f5e4 e2d2 e4f4,2255,17
8/8/4kn1N/1K1p4/3P2p1/5pP1/5P2/8 w - - 1 55,b5c5 f6e4 c5c6 e4f2,957,17
8/p1NR1kbp/4p1p1/2p2p2/4n3/P3B1P1/7r/2K5 b - - 3 38,f7f6 c7e8 f6e5 e3f4,1912,25
r2r4/p5kp/1p2ppp1/2p1K3/2P5/1P2P1P1/P4P1P/3R1R2 w - - 0 24,e5e6 d8e8 e6d5 a8c8,2148,2
8/8/8/8/8/3r1k2/6R1/7K w - - 67 97,g2h2 d3d1,430,25
8/p1p1Q1pk/K7/3r4/1p6/P3R1P1/1q6/8 b - - 1 41,b4a3 e7h4 h7g8 e3e8 g8f7 h4e7 f7g6 e7e4 d5f5 e8e6,2461,2
2kr3r/p1p1qppp/Qpn5/2N2P2/3P4/2P1p2B/PP3n2/R3K2R b KQ - 1 21,c8b8 a6b7,837,37
3r2kr/pp6/2p2p2/3nq2p/8/5Q2/PPP3PP/3R1RK1 b - - 1 19,e5e3 f3e3 d5e3 d1d8,1103,2
r3r1k1/3n1pp1/1qp2n1p/1p1p4/7P/PP1P2P1/1Q2NPB1/R3R1K1 w - - 1 19,b2d4 e8e2 d4b6 e2e1 a1e1 d7b6,1611,17
5r1k/5pb1/p2pqN1Q/1r4R1/p1p1P1R1/6PP/6PK/8 b - - 0 31,g7h6 g5g8 f8g8 g4g8,677,4
5r2/p2Q1nk1/3p4/1Pb1p2P/4P3/5P1K/q7/3R2R1 b - - 1 36,g7h8 d7e7 f7g5 e7g5,2121,17
r5q1/ppk5/8/2pPQ3/2P5/3P2P1/PP5P/n5K1 b - - 12 32,c7b6 e5d6 b6a5 d6c5 b7b5 c5b5,1336,19
8/8/1R6/8/5Pn1/P4k2/1P5K/5r2 w - - 3 43,h2h3 f1h1,1502,25
1nkr4/1pp3r1/7p/1P2p2q/2P1Pp2/B3Q1Pb/5PN1/R3RNK1 w - - 0 30,e3e2 f4f3 e2f3 h5f3,1677,2
1k4r1/1p3pr1/p3p3/P4p2/2PP3p/R4q1b/5P1P/3QRB1K w - - 0 29,d1f3 g7g1,635,37
q2k2r1/5R2/4p3/p1BbP3/1pnP1P1N/6N1/P2pQ2P/6K1 w - - 2 38,f7f8 g8f8 c5f8 a8a7 f8c5 a7h7,2197,17
r4kr1/ppq5/2p1Qp1p/4b3/7N/8/PPP1R1P1/5RK1 b - - 2 25,a8e8 f1f6 e5f6 e6e8 f8g7 e8g6,2105,17
r3r1k1/p2n1pb1/b1pp3B/q4p2/1p1P4/5N2/PPPQNKPP/R6R w - - 2 18,h6g7 e8e2 d2e2 a6e2,1249,2
r2k3r/pppb2p1/3p1n1B/7q/2B5/2N2Q2/PPP2PPP/4R1K1 w - - 2 16,h6g7 h5h2 g1f1 h2h1 f1e2 h8e8 c3e4 e8e4,1782,2
2q2rk1/1b3p2/p3p1pp/np1nP3/3P4/P2Q1N2/5PPP/1BB2RK1 b - - 1 20,g8g7 d3d2 f8h8 d2a5,2079,2
r1r3k1/1b2bppp/pBq2n2/1p2pP2/2p1P3/P1N2B1P/1PP2QP1/3R1RK1 b - - 5 21,e7c5 b6c5 c6c5 d1d8 c5f8 d8f8,1817,17
r1br3k/1p3Q2/p3pP1R/2p2n2/q4P2/2B5/1P6/1K2R3 b - - 0 30,f5h6 f7g7,905,37
4r1k1/p2b2p1/1p1Np1Qp/3p4/3Pp3/P1P4P/3q2PK/5R2 b - - 0 38,e8f8 f1f8 g8f8 g6f7,1079,6
1k5r/pp5r/3ppq2/8/3PP3/1Q3pP1/PP3R1P/R5K1 w - - 1 29,f2f3 f6d4 f3e3 h7h2,1351,17
r2q1r2/pp2bp2/2pp2pk/7p/B1PpPn2/3P1QNP/PP3PRK/6R1 b - - 1 22,e7g5 g3f5 g6f5 g2g5 d8g5 g1g5,1352,2
r4rBk/p4pp1/1p6/4q3/6b1/1P2B1P1/P1Q2P2/R5KR b - - 2 23,h8g8 c2h7,824,37
4r1k1/1p2rpp1/2p3bp/3nN3/pq1P1NQP/8/PP2RPP1/4R1K1 b - - 5 26,b4d4 f4g6 d4g4 g6e7 e8e7 e5g4,2073,2
4R3/kpp4p/8/1p6/4Pr2/1P3n1R/P2P4/3K4 w - - 0 35,d1e2 f3g1 e2e3 g1h3,1046,17
8/4N2p/5P2/6p1/6n1/5k1K/7P/8 w - - 0 51,f6f7 g4f2,970,25
5r1k/pp2Q1b1/2p4p/6p1/3P4/2P4q/PP3P2/3R1RK1 w - - 0 26,e7e4 f8f4 e4f4 g5f4,1579,2
r1b1kr2/3p3p/pq4p1/1p6/1n1NP3/1P2Q3/P2N1P1P/R3K2R w KQq - 7 18,a2a3 b6d4 e3d4 b4c2 e1e2 c2d4,1520,2
r2q3r/p3n1k1/bp1bp1p1/3pP3/3P3B/2PN2QP/PP2B1P1/5RK1 b - - 0 24,e7f5 h4f6 d8f6 e5f6,1954,15
8/8/p7/3b4/1P1k1p1p/P1N2P2/5K2/8 w - - 2 42,c3d5 d4d5 f2g2 d5c4 g2h3 c4b3,2360,17
5q1k/7p/p5p1/1p1B4/3b1P2/7P/P2Q3K/8 b - - 1 33,d4c5 d2c3 f8g7 c3c5,1191,2
b4k2/4q3/1p2p1Q1/3pb1N1/1P6/8/2P2PP1/6K1 b - - 0 38,e7f6 g5h7 f8e7 h7f6,1291,17
r7/1p4pp/2bk4/P2pp3/1Pp5/2P5/2K3PP/3RR3 w - - 0 31,e1f1 c6a4 c2d2 a4d1,814,2
8/8/8/1P3R2/6P1/6kP/1r6/6Kb w - - 0 57,g1h1 b2b1 f5f1 b1f1,1097,25
3rr3/1b2bpk1/p1n3pp/1pq5/5p2/PBP2N1P/1PQN1PP1/R3R1K1 b - - 5 23,c6a5 b3f7 g7f7 f3e5 c5e5 e1e5,2254,6
5B2/p1p5/1k6/2p4p/P1P2Kp1/8/8/8 w - - 2 36,f4g5 g4g3 g5h5 g3g2 a4a5 b6c6,1654,1
6rk/2R4p/2Q5/2p2q2/7K/6P1/7P/8 w - - 10 46,c6c5 f5g4,1773,25
7r/1kb1R2p/p7/1p6/1P1pP3/P2q4/3B1P2/3QK3 b - - 2 41,d3a3 e7c7 b7c7 d2f4 c7b7 d1d4 h8d8 d4d8,2050,6
8/6p1/8/3p4/4p2k/4P2P/5PK1/8 w - - 2 42,f2f3 e4f3 g2f3 h4h3,1232,17
5rk1/pq2r1pp/1p2p3/4B1Q1/3P1N2/2P1PP2/PnP2K1P/4R1R1 w - - 14 30,f4e6 b7f3,1117,37
r5k1/p1R2pp1/1p1p2np/1P6/3qPP2/3B2P1/Q6P/7K b - - 2 25,d4d3 a2f7 g8h8 f7g7,959,25
r1b1q2k/pp2bpp1/2p5/3nR3/3P4/1Q1B4/PP3PPP/2R3K1 b - - 1 19,c8e6 e5h5 h8g8 d3h7,1060,2
8/6R1/1kp2R2/p7/1pp5/P1P5/KP5r/8 w - - 0 48,g7g6 b4b3 a2a1 h2h1 g6g1 h1g1 f6f1 g1f1,1044,25
4r2k/p1b3q1/1p6/2p1pQ2/2P2P1P/P4R2/1P3P1K/8 b - - 2 35,e5f4 f5h5 h8g8 h5e8,1042,17
rnb2rk1/ppp1bppp/5n2/3qN3/4pB2/2NP4/PPP1QPPP/R3KB1R b KQ - 5 8,e4d3 c3d5 e7b4 d5b4,1764,17
2kr4/p1p2pQp/1pP1p3/PP4r1/7q/7P/5PP1/R4RK1 w - - 1 26,g7f7 h4h3 g2g3 g5h5 f7h5 h3h5 a5b6 c7b6,2498,2
r1b2rk1/ppp2pp1/3p3p/6q1/3NPn2/P1BP3P/1PP1BP2/R2Q1K1R w - - 4 14,h1g1 c8h3 f1e1 g5g1,1288,2
8/6p1/2p5/4R3/8/8/kp1K4/8 w - - 0 43,e5a5 a2b3 a5a7 b2b1q a7b7 b3a2,1474,1
r1bq1rk1/ppp1npb1/7p/3Pp1pn/4P2B/1BN2N2/PPP3PP/R2Q1RK1 w - - 0 13,h4g5 h6g5 f3g5 h5f6,2443,2
r1b2rk1/pp4pp/q2p4/2pP2B1/7b/2N5/PPPQ1P1P/1K2R2R b - - 0 17,h4f2 e1f1 f2d4 f1f8,1718,2
8/8/8/6p1/PK6/8/6k1/8 b - - 0 61,g2f3 a4a5 g5g4 a5a6 f3f2 a6a7 g4g3 a7a8q,708,1
1r3r2/Q4ppk/4b2p/8/4N3/8/Pq3PPP/R1R3K1 w - - 1 27,c1b1 b2b1 a1b1 b8b1,1053,7
6r1/p2kr1BQ/2p5/3p4/8/5P2/P2q2PP/R5K1 w - - 0 28,h7g8 e7e1 a1e1 d2e1,983,25
r1bq2kR/pp1nb1p1/2p1prB1/3p1p2/3P1P2/1P2P3/PBPN2PP/R2Q2K1 b - - 3 15,g8h8 d1h5 h8g8 h5h7 g8f8 h7h8,922,34
3Rq1rk/pb2nppp/1p2pn2/1P2N3/1BP5/4P3/2Q1BPPP/6K1 b - - 5 21,e8d8 e5f7,908,34
7k/7p/p7/1p2P3/2nP2rN/2PB2P1/PP3r2/1K1R4 w - - 0 31,h4f5 c4b2 d1f1 b2d3 f1f2 d3f2,2032,2
8/8/3R4/ppk1P3/4P3/r7/3K4/8 b - - 1 45,b5b4 d6d5 c5c4 e5e6 a3h3 e6e7 h3h8 d5d8,1339,1
1k1r1r2/pp4pQ/1bp5/P2pP3/5nP1/5N1P/2KNq3/R1R5 b - - 0 26,f4d3 h7d3 e2d3 c2d3,1459,17
2r3rk/1b1RpQ1n/p7/4P2p/1q5P/2N2P2/1PP3P1/2KR4 b - - 4 22,b7c6 d7e7 b4e7 f7e7,1377,17
2r3k1/6p1/p2R3p/1p4b1/1n1P4/5N1P/PP3PP1/1B4K1 w - - 5 30,a2a3 c8c1 g1h2 g5f4 g2g3 f4d6,1360,2
kr5r/1p3Rpp/2p5/6P1/p3R3/2qP4/P1P3P1/1K6 b - - 3 32,a4a3 e4a4 c3a5 a4a5,830,25
8/8/5k2/p1p2Pp1/PpP3P1/8/2Kp4/8 b - - 1 40,b4b3 c2d2 b3b2 d2c2 b2b1q c2b1,1207,17
r2qk2r/ppp3pp/2b1P3/1B6/6n1/1QN5/PP3pPP/R4K1R b kq - 1 16,c6b5 b3b5 c7c6 b5h5 g7g6 h5g4,1711,2
5rk1/R1bq2pp/2p1pp2/2Pp1n2/1QbP1P2/4PNP1/1B3KBP/8 b - - 5 24,f8b8 b4b8 c7b8 a7d7,1337,17
3r2k1/3r4/2p3p1/P7/4p2p/6qP/1Q2b1P1/B2RR1K1 b - - 4 34,d7d1 b2g7,1366,37
7k/6p1/3K2Bp/7P/5r2/8/8/8 b - - 3 69,f4e4 g6e4 g7g6 h5g6,1655,17
8/2R3bk/3p2p1/1PpP2Pp/r7/1p6/5R2/1K6 w - - 0 52,f2f7 a4a1,1078,25
R7/P7/8/5p2/5k1p/8/6PK/r7 w - - 10 69,h2h3 a1h1,941,25
8/R5p1/5p1p/5P1P/3k1K1P/1p1p4/8/8 w - - 0 50,a7a4 d4c3 f4e3 d3d2 a4d4 b3b2,2398,1
5rkr/pp4pp/1b1p1q2/nP5b/Q2PP3/5NR1/P2N1P2/R1B1K3 b Q - 0 19,b6d4 a4d4 f6d4 f3d4,1788,17
8/8/KPk5/8/8/5P2/1r1p3P/3R4 w - - 2 47,b6b7 b2a2,1456,25
4r1k1/5p1p/r3bBp1/pp1N4/8/8/PP3PPP/3RR1K1 b - - 0 24,e6d5 e1e8,841,25
8/8/8/1pQ5/pP2K3/Pk4P1/8/3q4 w - - 2 69,c5d5 d1d5 e4d5 b3a3,995,17
2Q5/k3r1R1/1pp5/p2p4/P2P4/2P2P2/5K1q/6R1 w - - 22 55,f2f1 h2e2,1062,25
8/8/8/8/3p4/3k1P2/1K6/8 w - - 0 62,b2c1 d3e2 c1c2 d4d3,1721,17
8/8/2p3p1/1P1k1p1p/3r4/4KPP1/1R5P/8 b - - 0 47,c6b5 b2b5 d5c4 b5b4 c4b4 e3d4,1405,17
8/8/5pkp/8/3P4/Q4P1b/2r1q1PP/R5RK w - - 9 30,a1e1 h3g2 g1g2 e2g2,1251,25
3r4/ppp1kp1p/4np2/7R/8/2N5/PPPrRPPP/6K1 w - - 8 21,g1f1 d2e2 f1e2 e6f4 e2e3 f4h5,1412,6
7k/3P2p1/4Q2p/2K5/8/4P2P/5n2/3q4 b - - 2 49,f2d3 c5b6 d3e5 e6e8 h8h7 d7d8q,2185,1
r4rk1/2pqbp1p/p1n1p1p1/1p6/3PQ3/1BP5/PP3PPP/R1B2RK1 b - - 0 16,f8e8 d4d5 e6d5 b3d5 e7g5 d5c6 e8e4 c6d7,1937,17
8/4p2k/3p2p1/3q3p/7P/2Q1P1P1/5P2/6K1 b - - 1 45,h7h6 c3h8,454,25
6r1/1pp2r1k/4Q2P/3N4/1q3P2/bn1pP3/P2P4/BK1R4 w - - 1 28,d5b4 b3d2 d1d2 g8g1 d2d1 g1d1,1471,35
4k2r/p1p2ppp/2q2n2/8/4PB1b/2NP1P1b/PPP4P/R2Q2KR w k - 3 14,d1d2 f6h5 f4g3 c6g6 d2f2 h5g3 h2g3 h4g3 h1h3 g3f2,2325,2
2r3k1/6pp/5q2/8/8/pPPQ4/P5rP/1KR4R w - - 0 28,h2h4 g2b2 b1a1 f6f2 d3d5 g8h8,1857,17
r6k/6p1/p1b5/1p2PRq1/1P6/P6P/6rQ/4R1K1 w - - 0 42,h2g2 g5g2,840,25
3r2k1/5ppp/R7/1p3P2/4rnP1/2N4P/PPP5/2K5 w - - 0 25,c3e4 f4e2 c1b1 d8d1,848,7
8/8/p3k3/2p1P1pp/P3K3/6PP/8/8 w - - 0 36,a4a5 h5h4 g3h4 g5h4 e4f4 c5c4 f4e4 c4c3,2404,17
Q1krr3/1pbnRp1p/2p5/3p1q2/N6P/2P3P1/PP3P2/2KR4 b - - 4 23,d7b8 a4b6 c7b6 a8b7,1648,37
8/8/p4k2/6p1/8/1P3B2/6RK/4q3 b - - 17 57,f6e5 g2e2 e1e2 f3e2,1387,17
3k3r/1p1r2p1/pq1b1p1p/3p3P/6Q1/P1PB2B1/1P3PP1/2K1R3 b - - 1 25,h8e8 e1e8 d8e8 g4e6 e8d8 d3f5,2205,2
8/p2rk1pp/P2R1p2/2P5/8/5P2/5P1P/6K1 w - - 3 40,d6c6 d7d1 g1g2 e7d7 c6d6 d1d6,1788,17
2kb4/1pn3p1/1B4p1/1pP2p2/6r1/5K2/8/R2R4 b - - 3 38,c7e6 a1a8,1396,25
8/5p2/1pQ5/7k/5q1P/1P4p1/P5K1/8 w - - 4 62,c6f3 f4f3 g2f3 h5h4,1201,17
r4r1k/1pp1q1p1/p1np1bPB/4p2Q/1P2P3/1BPP3P/P4P1K/R7 b - - 0 23,f6g5 h6g5,1612,20
8/2Q2pkp/6p1/2Pp1p2/3Nn3/2P3P1/Pq3PKP/8 w - - 4 34,d4e6 g7f6 c7d8 f6e6 d8b6 b2b6,2272,17
r3k2r/ppp1bpp1/2npbn1p/8/7B/2PB1N2/PP1NRPPP/R5K1 b kq - 1 13,f6h5 e2e6 f7e6 d3g6 e8d7 g6h5 e7h4 f3h4,2028,2
8/r4pk1/6pp/1p2N3/P2n4/1PR5/5PPP/5K2 w - - 0 35,a4b5 a7a1 c3c1 a1c1,604,25
8/p4R1p/k1p1Bp2/Pp3Pp1/1P6/K1P1P3/3r3P/1r6 b - - 7 34,d2h2 e6c8,1050,25
3r1r1k/pQ3p1p/2n3p1/8/2B3q1/1P6/P1P4P/1R3R1K b - - 1 24,d8d2 b7c6 g4h4 c6f6 h4f6 f1f6,1911,2
6k1/p2N1ppp/4p3/6P1/2p2Q1P/3r4/q4P2/5RK1 b - - 0 30,d3d7 f4b8 d7d8 b8d8,903,7
3r4/Pkp2Q2/1p6/P2p2p1/7r/4P3/5P2/R4RK1 w - - 0 29,a5b6 h4g4 g1h1 d8h8 f7h5 h8h5,1126,25
r6r/p1p3p1/3k1n2/1Qb1p3/8/3p2P1/PPPN2PN/R4RK1 w - - 0 20,g1h1 h8h2 h1h2 a8h8,1788,6
2r1r1k1/4qppp/p3p3/1p1bP3/2nQ4/2N2N2/PP3PPP/3RR1K1 b - - 5 20,c4b2 c3d5 e6d5 d4b2,1296,2
6k1/6pp/p7/1p1pR2q/3P1r2/2P2r2/PP3PQ1/R5K1 b - - 1 26,f4g4 e5h5 g4g2 g1g2,1477,17
r5kr/6p1/6P1/2q5/5PQ1/p3p1KP/R7/R7 b - - 1 37,a8e8 g4d7 c5e7 d7e7,2324,17
8/8/7P/4R3/5k1K/8/8/6r1 w - - 1 52,h4h5 f4e5 h6h7 e5e6 h5h6 e6f7 h7h8q g1h1 h6g5 h1h8,2388,17
8/2q3k1/1p5p/3Pprp1/1PP1Q3/5N1n/5PP1/5K2 w - - 0 34,e4f5 c7c4 f1e1 c4c1 e1e2 h3f4,1789,17
1kr2br1/p2npNpp/1p6/1N6/3P1B2/7P/PP3P2/1KR5 b - - 4 23,b8b7 f7d8 c8d8 c1c7 b7a6 a2a4 d8a8 c7d7,2373,2
2kr3r/pppq1p2/1b5p/3P2p1/4P2P/2N2PQ1/PPPK4/3R1B2 b - - 0 22,f7f6 f1h3 d7h3 g3h3,1623,2
8/2R2R2/1p6/prk4p/7P/1r3PK1/1P6/8 b - - 3 42,c5b4 f7f4,955,25
6k1/8/6K1/1R6/1P5p/6r1/8/8 w - - 2 55,g6h5 h4h3 h5h4 h3h2 h4g3 h2h1q,1074,1
3rk2r/p1p1b1pp/8/4p3/8/4Q3/PP1qNPPP/R4RK1 w k - 0 20,f1d1 d2d1 a1d1 d8d1,485,7
3r2k1/p4p2/p3bp1p/4p3/3rP1PN/P6P/1PP2P2/1K1RR3 w - - 3 21,h4f5 d4d1 e1d1 d8d1,931,25
5b1r/1p1k2p1/2p4p/6N1/Q3bqP1/1P3N2/1PP1n2P/5RBK w - - 0 27,a4e4 e2g3 h2g3 h6g5 e4h7 h8h7,2069,17
6k1/ppr2p2/2r1pBp1/4P1P1/2PpR3/1P6/P4P2/7K b - - 0 35,g8f8 e4h4 f8e8 h4h8 e8d7 h8d8,1726,25
2k4r/1pp2p2/p1b1pB2/8/P1N3p1/1P2P1P1/5PK1/R2rR3 w - - 0 24,g2f1 h8h1 f1e2 h1e1,1182,10
q3kb1r/p4p1p/1p2pp2/2p5/2p5/2N1P1P1/PP3PKP/R2QnR2 w k - 3 15,g2g1 a8g2,1098,37
r3r3/pp1n1kpp/1qp1Rb2/7Q/8/1PN5/P1P2PPP/4R1K1 b - - 1 20,f7f8 e6e8 a8e8 h5e8,945,37
7k/6r1/1p6/3Q1P2/8/6r1/P4K2/8 b - - 2 44,g3g2 d5g2 g7g2 f2g2,833,17
3R4/p5pk/1p3p2/8/P4n2/3P1PN1/2r1P2P/7K w - - 2 37,d8e8 c2c1 g3f1 c1f1,935,25
3K4/8/2Bkpp2/p5p1/1r4P1/5P2/8/7R w - - 6 50,c6a8 b4b8,636,25
r5k1/1R5p/5p2/8/1p6/P4N2/1Pn2PPP/6K1 w - - 0 24,a3b4 a8a1 f3e1 a1e1,717,7
5k2/p5p1/2p4q/2Pp1Q1B/3b4/6P1/P5KP/8 b - - 1 32,d4f6 f5c8 f6d8 c8d8,777,25
8/p7/1p2k3/1Pp2ppp/2P3P1/4KP1P/P7/8 b - - 0 32,f5g4 f3g4 h5g4 h3g4 e6e5 a2a3,2207,17
rn3rk1/pb3p1p/4p1pQ/1qp5/7R/6P1/P1P4P/3RK3 b - - 1 21,f8e8 h6h7 g8f8 h7h6 f8e7 h6g5,2515,2
1r4k1/1R3p1p/pQ4p1/3p2b1/3P2n1/P2B4/1P3qPP/5N1K b - - 1 27,f2f4 b7b8 g8g7 b6b4 g5e7 b4e7,2513,2
8/p7/2p2bpk/Q4n2/1P3r2/7P/4B1K1/8 w - - 5 45,a5a7 f6d4 a7c7 f4f2,2048,17
q3kb1r/p2n1ppp/4p3/5b2/3p3N/2P3P1/P2BPP1P/R2QK2R w KQk - 0 13,h4f5 a8h1,973,7
8/3k4/P5p1/1N1P3p/1b6/5K2/8/8 b - - 0 53,b4c5 a6a7 c5a7 b5a7 h5h4 a7b5,2043,1
7k/2pnQ1R1/3p1npB/3r3p/2q4P/2N2P2/1P3PK1/8 b - - 4 32,d5e5 g7h7 f6h7 e7g7,1891,14
6k1/3p2p1/p1BNpb1p/2r5/7P/4P3/5P2/4K1R1 w - - 0 32,c6d7 c5c1 e1e2 c1g1,1217,2
r2qkbnr/pp1bpppp/2np4/8/2B1P3/1Q6/PPP2PPP/RNB1K1NR b KQkq - 6 7,c6d4 c4f7,933,5
r1bk3r/ppp1b1pp/2np1n2/8/4P3/3P4/PPP4K/RNBQ1R2 w - - 1 14,c1e3 f6g4 h2g1 g4e3,1062,17
rn2k2r/1b1pqpp1/p3p3/1p2P2p/3N1Pn1/2NB4/PPP3PP/R2Q1RK1 w kq - 0 12,d1e2 e7c5 c3e4 c5d4,1914,17
r4r2/ppqn1ppk/3bb3/2ppN3/3P4/3Q1N1P/PPP2PP1/R3R1K1 b - - 1 15,f7f5 f3g5 h7g8 g5e6,994,2
r1bq1rk1/pppn1pbp/3p2p1/4n3/2P5/P1N2NP1/1P2PPBP/R1BQ1RK1 w - - 0 10,c1g5 e5f3 e2f3 d8g5,992,2
r5k1/1p3pp1/p1nQ3p/1q6/3BrP2/1P6/1PP4P/1K1R3R w - - 0 24,d4g7 e4e6 d6c7 g8g7,2519,2
r1b1k1nr/pp6/2n5/2ppq1P1/8/4PQP1/PPPN2B1/R4RK1 b kq - 0 16,c8e6 f3f8 e8d7 f8a8,1218,2
2r3k1/5p2/2p2Pp1/2p3q1/6P1/1rP4Q/4R3/4R1K1 b - - 0 39,g5f6 e2e8 c8e8 e1e8 g8g7 h3h8,951,25
r1b1k1nr/ppp2p2/2qp2p1/3NN1p1/4P3/1P6/1PPP1bPP/R1BK3R w kq - 0 13,e5c6 c8g4,877,22
7k/6p1/p6p/3Q4/8/5rqP/P4rP1/R5RK w - - 3 29,d5b7 g3h3 g2h3 f3h3,1437,25
4R3/6pk/2p4p/p4q2/8/1P4QP/P2r2P1/7K w - - 3 36,g3b8 f5f1 h1h2 d2g2,1494,25
8/8/8/p1p5/1k4P1/1P3R2/1r4PK/8 b - - 0 57,b2b3 f3b3 b4b3 g4g5 c5c4 g5g6 c4c3 g6g7 b3b2 g7g8q,1371,1
r2q1r2/2pbn2k/p2p2B1/1p1P4/2P1pB1P/1P6/P4P2/b2Q1KR1 b - - 0 21,e7g6 d1h5 h7g8 h5g6 a1g7 g6g7,1170,19
8/8/7p/6p1/4R3/5kP1/r6P/6K1 w - - 2 54,e4e6 a2a1 e6e1 a1e1,1178,25
b1r3k1/Q3bppp/4pn2/1p3n2/4pP2/6PB/1PP4P/2B2RK1 w - - 8 22,h3f5 e7c5 a7c5 c8c5,921,2
4r3/3qr3/3Rp1kp/3pBpp1/3P4/Q6P/5PPK/8 b - - 11 38,d7a7 d6e6 e7e6 a3a7 e6e5 d4e5,1489,17
2rr1bk1/1bqn1pp1/p3pn1p/1p2N3/5P2/2PB2N1/PP1B2PP/1Q2RR1K b - - 7 20,f6d5 d3h7 g8h8 e5f7,1033,19
8/8/1p3r1p/pP3RkP/P1R5/6K1/8/8 b - - 0 51,g5f5 c4f4 f5e5 f4f6 e5f6 g3f4 f6e6 f4e4,1823,17
1r3r2/pkpB4/1b1qP1b1/6Q1/6Pp/7P/PB3P2/R4RK1 w - - 3 27,g5g6 d6g3 g1h1 g3h3 h1g1 h3g3,2161,17
6k1/2B1bp2/4pn1p/p1p3p1/P1P5/1P3RNP/5PPK/3r4 b - - 1 34,e7d8 c7d8 d1d8 f3f6,904,2
5r1k/2q4p/3pQbpP/2p5/2B1PP2/1p6/P7/1K1R4 w - - 0 31,e6d6 b3a2 c4a2 c7b7 b1c2 b7b2,2109,1
6k1/p6p/2p3pB/5bN1/1r5P/r7/P2R2P1/6K1 b - - 4 33,a3e3 d2d8 e3e8 d8e8,1151,25
7k/2r4p/P4p2/4pN2/3pP3/R2K4/5rPP/8 b - - 0 28,f2g2 a6a7 c7a7 a3a7,1163,1
r1bq1rk1/pppn1ppp/2n5/2b1P3/8/3B1N1P/PP3PP1/RNBQK2R w KQ - 4 10,d3h7 g8h7 f3g5 h7g8,1373,2
rnb1k2r/pp2nppp/2pp1q2/2b5/P1B1P3/1QN2N2/1P3PPP/R1B2RK1 b kq - 0 9,e8g8 c1g5 f6g6 g5e7,1480,17
8/pkpR2R1/1p6/8/8/P3p2P/1q4PK/8 b - - 1 37,b2c2 d7c7 c2c7 g7c7 b7c7 h2g3,1836,17
7k/1p4p1/7p/1PRqp3/6P1/4Qr1n/5P1K/8 b - - 0 33,f3f2 e3f2 h3f2 c5d5,1764,2
r5k1/1pp2q2/pb2rp2/nP2p1Bp/P3R3/2Pn1NP1/Q2N1PKP/3R4 b - - 0 23,f6g5 f3g5 f7f2 g2h1,1952,2
